ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,data_source
600036.SH,20260330,38.237,38.567,38.127,38.477,38.437,0.03999999999999915,0.10406639435959922,646054.0,,tushare_legacy_get_k_data
600036.SH,20260331,38.537,38.727,38.277,38.317,38.477,-0.1599999999999966,-0.41583283520024067,663097.0,,tushare_legacy_get_k_data
600036.SH,20260401,38.557,39.037,38.417,38.817,38.317,0.5,1.304903828587833,881526.0,,tushare_legacy_get_k_data
600036.SH,20260402,38.857,38.917,38.577,38.757,38.817,-0.060000000000002274,-0.15457145065307024,534630.0,,tushare_legacy_get_k_data
600036.SH,20260403,38.757,38.817,38.357,38.397,38.757,-0.35999999999999943,-0.9288644631937442,464485.0,,tushare_legacy_get_k_data
600036.SH,20260407,38.387,38.597,37.957,37.987,38.397,-0.4099999999999966,-1.0677917545641498,528367.0,,tushare_legacy_get_k_data
600036.SH,20260408,38.497,38.637,38.187,38.617,37.987,0.6299999999999955,1.6584621054571183,669498.0,,tushare_legacy_get_k_data
600036.SH,20260409,38.477,38.517,38.117,38.257,38.617,-0.35999999999999943,-0.9322319185850777,535854.0,,tushare_legacy_get_k_data
600036.SH,20260410,38.317,38.377,38.127,38.207,38.257,-0.04999999999999716,-0.1306950362025176,543202.0,,tushare_legacy_get_k_data
600036.SH,20260413,38.127,38.157,37.917,37.977,38.207,-0.23000000000000398,-0.6019839296464103,525145.0,,tushare_legacy_get_k_data
600036.SH,20260414,37.997,38.177,37.947,38.127,37.977,0.15000000000000568,0.3949759064697204,503999.0,,tushare_legacy_get_k_data
600036.SH,20260415,38.247,38.917,38.217,38.897,38.127,0.769999999999996,2.019566186691835,1052104.0,,tushare_legacy_get_k_data
600036.SH,20260416,38.897,39.147,38.747,38.907,38.897,0.00999999999999801,0.025708923567365122,617258.0,,tushare_legacy_get_k_data
600036.SH,20260417,38.847,38.897,38.497,38.517,38.907,-0.38999999999999346,-1.0023903153673979,587925.0,,tushare_legacy_get_k_data
600036.SH,20260420,38.497,38.897,38.327,38.867,38.517,0.3499999999999943,0.908689669496571,588776.0,,tushare_legacy_get_k_data
600036.SH,20260421,38.907,39.147,38.857,38.867,38.867,0.0,0.0,545949.0,,tushare_legacy_get_k_data
600036.SH,20260422,38.867,39.027,38.617,38.737,38.867,-0.12999999999999545,-0.3344739753518292,507595.0,,tushare_legacy_get_k_data
600036.SH,20260423,38.717,38.857,38.517,38.807,38.737,0.07000000000000028,0.18070578516663727,569489.0,,tushare_legacy_get_k_data
600036.SH,20260424,38.737,38.797,38.357,38.377,38.807,-0.4299999999999997,-1.1080475172005044,629414.0,,tushare_legacy_get_k_data
600036.SH,20260427,38.517,38.987,38.317,38.377,38.377,0.0,0.0,926168.0,,tushare_legacy_get_k_data
600036.SH,20260428,38.377,38.627,38.257,38.597,38.377,0.21999999999999886,0.5732600255361254,669305.0,,tushare_legacy_get_k_data
600036.SH,20260429,37.907,38.017,37.337,37.497,38.597,-1.1000000000000014,-2.849962432313396,2533117.0,,tushare_legacy_get_k_data
600036.SH,20260430,37.397,37.507,37.117,37.267,37.497,-0.22999999999999687,-0.613382403925639,1169574.0,,tushare_legacy_get_k_data
600036.SH,20260506,37.287,37.347,36.817,36.997,37.267,-0.2700000000000031,-0.7245015697534094,1431771.0,,tushare_legacy_get_k_data
