ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,data_source,rsi14,macd_dif,macd_dea,macd_hist,bb_middle,bb_upper,bb_lower,kdj_k,kdj_d,kdj_j
000776.SZ,20260202,22.35,22.66,21.66,21.72,22.49,-0.7699999999999996,-3.4237438861716303,855141.0,,tushare_legacy_get_k_data,41.87102795738733,0.06448471595085081,0.152289779775282,-0.17561012764886236,22.613,23.39336145471172,21.83263854528828,33.90130471956466,41.27318457362125,19.15754501145149
000776.SZ,20260203,21.8,21.86,21.1,21.43,21.72,-0.2899999999999991,-1.3351749539594804,741527.0,,tushare_legacy_get_k_data,39.071890739014925,-0.021671303696788158,0.11749756308086796,-0.2783377335553122,22.4955,23.244672209842165,21.746327790157835,28.10086981304308,36.88241298676186,10.537783465605528
000776.SZ,20260204,21.3,21.68,21.22,21.62,21.43,0.1900000000000012,0.8866075594960396,386302.0,,tushare_legacy_get_k_data,41.81631998174293,-0.07376879711078743,0.07924429104253689,-0.30602617630664863,22.4185,23.194728703411435,21.642271296588568,27.40057987536204,33.721801949628585,14.758135726828954
000776.SZ,20260205,21.62,21.73,21.28,21.47,21.62,-0.1500000000000021,-0.6938020351526463,336966.0,,tushare_legacy_get_k_data,40.273976197489226,-0.12571106349371064,0.03825322013528738,-0.327928567257996,22.378999999999998,23.257177658563343,21.500822341436653,24.433719916907986,30.625774605388386,12.049610539947182
000776.SZ,20260206,21.36,21.5,21.25,21.29,21.47,-0.1799999999999997,-0.8383791336748939,281521.0,,tushare_legacy_get_k_data,38.44164784155781,-0.1793329409903741,-0.005264012089844917,-0.3481378578010584,22.328,23.326510891277508,21.32948910872249,19.455813277938617,26.902454162905126,4.562531508005598
000776.SZ,20260209,21.41,21.9,21.4,21.71,21.29,0.4200000000000017,1.972757162987326,432863.0,,tushare_legacy_get_k_data,44.757260275552554,-0.1857964297300363,-0.041370495617883196,-0.2888518682243062,22.278,23.29496804276231,21.261031957237687,23.137208851959066,25.647372392589773,18.11688177069766
000776.SZ,20260210,21.75,21.76,21.55,21.62,21.71,-0.0899999999999998,-0.4145555043758629,188230.0,,tushare_legacy_get_k_data,43.722100457732004,-0.19592256558327747,-0.07228090961096205,-0.24728331194463085,22.216,23.234673647445447,21.197326352554555,24.0914725679727,25.128739117717416,22.016939468483272
000776.SZ,20260211,21.64,21.65,21.4,21.5,21.62,-0.120000000000001,-0.5550416281221138,252795.0,,tushare_legacy_get_k_data,42.31676566730952,-0.21119606158700321,-0.10006394000617029,-0.22226424316166585,22.1665,23.22263020030667,21.110369799693327,22.727648378648443,24.328375538027757,19.526194059889818
000776.SZ,20260212,21.48,21.49,21.1,21.13,21.5,-0.370000000000001,-1.7209302325581444,488927.0,,tushare_legacy_get_k_data,38.235874872895806,-0.250271352625969,-0.13010542253013005,-0.2403318601916779,22.095499999999998,23.227179725010483,20.963820274989512,15.792791226791218,21.483180767615575,4.412012145142505
000776.SZ,20260213,21.19,21.32,21.1,21.13,21.13,0.0,0.0,318448.0,,tushare_legacy_get_k_data,38.235874872895806,-0.2780338017006443,-0.1596910983642329,-0.23668540667282278,22.024,23.2087092470306,20.8392907529694,11.778527484527382,18.24829633991951,-1.1610102262568702
000776.SZ,20260224,21.11,21.23,20.93,20.99,21.13,-0.1400000000000005,-0.6625650733554216,353212.0,,tushare_legacy_get_k_data,36.68345766158246,-0.307784623036067,-0.18930980329859973,-0.23694963947493458,21.952,23.202465513318867,20.701534486681137,9.914207326454639,15.470266668764552,-1.197911358165186
000776.SZ,20260225,21.0,21.23,20.88,20.91,20.99,-0.0799999999999983,-0.381133873272979,543490.0,,tushare_legacy_get_k_data,35.78925348964157,-0.3339679204010153,-0.21824142671908286,-0.23145298736386488,21.858999999999998,23.128801559299646,20.58919844070035,7.589863707832541,12.843465681787215,-2.9173402400768076
000776.SZ,20260226,20.9,20.99,20.75,20.81,20.91,-0.1000000000000014,-0.478240076518419,294128.0,,tushare_legacy_get_k_data,34.6521720110007,-0.3586532055684124,-0.2463237824889488,-0.22465884615892723,21.770999999999997,23.07499233126572,20.467007668734276,6.799039573337601,10.828656978970676,-1.2601952379285493
000776.SZ,20260227,20.8,21.01,20.76,20.84,20.81,0.0300000000000011,0.1441614608361419,356003.0,,tushare_legacy_get_k_data,35.31613042169539,-0.37151315029422705,-0.27136165605000445,-0.2003029884884452,21.683500000000002,22.990776175870966,20.37622382412904,7.141388701065646,9.599567553002332,2.225030997192274
000776.SZ,20260302,20.64,20.75,20.22,20.67,20.84,-0.1699999999999981,-0.815738963531661,512867.0,,tushare_legacy_get_k_data,33.25422428538157,-0.39091609103047276,-0.2952725430460981,-0.19128709596874927,21.6015,22.9464947955289,20.256505204471104,14.501185540970214,11.233440215658293,21.036676191594058
